,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vaini,-21.2,-175.2,71.6,100,90,11.61,TO,1611503112
1,Urengoy,65.9667,78.3667,-43.24,76,0,0.81,RU,1611503403
2,Puerto Ayora,-0.7393,-90.3518,80.6,74,75,9.22,EC,1611503403
3,Yar-Sale,66.8333,70.8333,-37.64,80,60,9.53,RU,1611503403
4,Mar del Plata,-38.0023,-57.5575,89.6,48,20,4.61,AR,1611503181
5,Port Alfred,-33.5906,26.891,64.99,94,84,13.31,ZA,1611503403
6,Thompson,55.7435,-97.8558,-14.8,70,90,10.36,CA,1611503404
7,Bālāghāt,21.8,80.1833,69.89,40,0,6.76,IN,1611503883
8,Punta Arenas,-53.15,-70.9167,64.4,34,0,17.27,CL,1611503404
9,Ayan,56.45,138.1667,-24.93,71,95,16.55,RU,1611503405
10,Constitución,-35.3333,-72.4167,68.61,63,51,5.32,CL,1611503405
11,Srednekolymsk,67.45,153.6833,-29.22,84,100,8.21,RU,1611503405
12,Saint George,37.1041,-113.5841,28.4,93,1,3.44,US,1611503405
13,Mareeba,-17.0,145.4333,73.4,88,94,9.22,AU,1611503405
14,Butaritari,3.0707,172.7902,78.8,80,25,10.67,KI,1611503385
15,Shimoda,34.6667,138.95,41.0,93,100,14.85,JP,1611503884
16,Yoichi,43.2039,140.7703,18.0,84,0,6.73,JP,1611503884
17,Hermanus,-34.4187,19.2345,71.01,56,8,10.0,ZA,1611503884
18,Rikitea,-23.1203,-134.9692,79.25,65,67,8.52,PF,1611503406
19,Northam,51.0333,-4.2167,39.99,85,88,4.0,GB,1611503162
20,Mount Isa,-20.7333,139.5,80.6,50,100,8.99,AU,1611503406
21,Tiksi,71.6872,128.8694,-43.33,79,35,7.9,RU,1611503406
22,Half Moon Bay,37.4636,-122.4286,51.01,76,90,11.5,US,1611503406
23,Ushuaia,-54.8,-68.3,62.6,36,75,17.27,AR,1611503199
24,Sabha,27.0377,14.4283,67.37,24,0,7.16,LY,1611503885
25,Busselton,-33.65,115.3333,55.0,83,0,6.51,AU,1611503885
26,Petauke,-14.2426,31.3253,70.56,90,98,5.5,ZM,1611503885
27,Ilulissat,69.2167,-51.1,21.2,35,40,9.22,GL,1611503885
28,Vilyuysk,63.7553,121.6247,-50.6,76,65,3.15,RU,1611503467
29,Clarence Town,-32.5833,151.7833,69.8,88,27,6.91,AU,1611503467
30,Bredasdorp,-34.5322,20.0403,71.6,46,82,16.11,ZA,1611503467
31,Souillac,-20.5167,57.5167,80.6,78,40,4.61,MU,1611503886
32,Avarua,-21.2078,-159.775,80.6,78,20,11.5,CK,1611503886
33,Hithadhoo,-0.6,73.0833,82.69,68,48,2.71,MV,1611503886
34,New Norfolk,-42.7826,147.0587,64.99,74,75,3.0,AU,1611503886
35,Sitka,57.0531,-135.33,33.8,93,75,4.61,US,1611503886
36,Yellowknife,62.456,-114.3525,-16.01,76,75,6.91,CA,1611503886
37,Castro,-24.7911,-50.0119,71.37,85,100,4.03,BR,1611503886
38,Port Elizabeth,-33.918,25.5701,68.0,77,75,5.75,ZA,1611503800
39,Atuona,-9.8,-139.0333,77.65,77,5,15.08,PF,1611503886
40,Alugan,12.2188,125.4808,78.66,84,22,8.12,PH,1611503887
41,Albany,42.6001,-73.9662,18.0,41,0,5.01,US,1611503865
42,Vrangel',42.7297,133.0839,29.26,88,0,8.79,RU,1611503230
43,Mayumba,-3.432,10.6554,80.96,78,97,7.09,GA,1611503470
44,Brae,60.3964,-1.353,37.4,87,40,6.91,GB,1611503470
45,Tuktoyaktuk,69.4541,-133.0374,-9.4,77,90,8.05,CA,1611503470
46,Okhotsk,59.3833,143.3,-14.3,83,100,14.72,RU,1611503470
47,Agirish,61.9247,63.0231,-19.86,88,100,7.58,RU,1611503470
48,Terra Nova,-12.3667,-40.6667,83.32,48,60,8.95,BR,1611503318
49,Hilo,19.7297,-155.09,66.2,72,90,6.91,US,1611503948
50,Çay,38.5917,31.0286,39.74,82,72,6.2,TR,1611503471
51,Bakel,14.905,-12.4568,95.54,7,31,12.97,SN,1611503471
52,Warrington,53.3925,-2.5802,37.99,75,100,9.22,GB,1611503320
53,Faanui,-16.4833,-151.75,80.92,73,22,13.42,PF,1611503471
54,São Filipe,14.8961,-24.4956,75.58,57,0,7.65,CV,1611503471
55,Tomatlán,19.9333,-105.25,79.45,45,77,1.77,MX,1611503948
56,Cape Town,-33.9258,18.4232,73.4,46,0,28.77,ZA,1611503749
57,Soyo,-6.1349,12.3689,86.0,74,20,8.05,AO,1611503649
58,Walvis Bay,-22.9575,14.5053,75.2,73,75,10.36,NA,1611503949
59,Barrow,71.2906,-156.7887,-0.4,71,1,17.27,US,1611503783
60,Mapiripán,2.8892,-72.1256,72.48,95,100,2.73,CO,1611503949
61,San Cristobal,7.7669,-72.225,78.8,78,40,4.61,VE,1611503949
62,Eureka,40.8021,-124.1637,44.01,93,100,7.52,US,1611503949
63,Tasiilaq,65.6145,-37.6368,14.0,48,0,2.3,GL,1611503949
64,Nanortalik,60.1432,-45.2371,23.77,90,0,9.04,GL,1611503949
65,Sur,22.5667,59.5289,67.64,49,0,13.06,OM,1611503950
66,Périgueux,45.1833,0.7167,44.01,90,100,1.99,FR,1611503950
67,Kahului,20.8947,-156.47,70.0,88,1,3.44,US,1611503950
68,Chābua,27.4825,95.1736,58.91,78,0,1.41,IN,1611503950
69,Vestmannaeyjar,63.4427,-20.2734,37.4,48,20,16.11,IS,1611503950
70,Aseri,59.4506,26.8675,34.66,96,100,10.94,EE,1611503950
71,Mataura,-46.1927,168.8643,57.99,87,74,14.0,NZ,1611503473
72,Magadan,59.5667,150.8,-16.04,77,99,10.33,RU,1611503473
73,Arraial do Cabo,-22.9661,-42.0278,86.0,69,75,19.57,BR,1611503179
74,Mogzon,51.7435,111.9606,8.87,94,100,8.97,RU,1611503473
75,Bluff,-46.6,168.3333,57.99,87,71,14.0,NZ,1611503474
76,Palmer,42.1584,-72.3287,24.01,42,0,1.01,US,1611503474
77,San Jerónimo,-11.9472,-75.2829,58.28,55,100,0.76,PE,1611503474
78,Klaksvík,62.2266,-6.589,35.6,75,20,29.93,FO,1611503474
79,Jamestown,42.097,-79.2353,28.4,59,75,2.95,US,1611503474
80,Chui,-33.6971,-53.4616,82.36,57,42,9.78,UY,1611503474
81,Dingle,10.9995,122.6711,75.47,90,30,5.61,PH,1611503474
82,Provideniya,64.3833,-173.3,3.07,85,6,1.28,RU,1611503188
83,Lavrentiya,65.5833,-171.0,0.18,84,100,4.79,RU,1611503475
84,Ishigaki,24.3448,124.1572,64.38,66,100,10.49,JP,1611503414
85,Nikolskoye,59.7035,30.7861,36.0,93,90,6.71,RU,1611503475
86,Celestún,20.8667,-90.4,77.81,74,99,10.31,MX,1611503475
87,Kapaa,22.0752,-159.319,73.99,88,75,16.11,US,1611503475
88,Upernavik,72.7868,-56.1549,16.29,92,0,14.5,GL,1611503475
89,Mozarlândia,-14.7447,-50.5706,88.48,54,54,4.03,BR,1611503475
90,Byron Bay,-28.65,153.6167,69.8,88,16,4.61,AU,1611503476
91,Fortuna,40.5982,-124.1573,44.01,100,90,5.48,US,1611503476
92,Trofors,65.5333,13.4063,17.6,86,90,3.44,NO,1611503476
93,Praia,14.9215,-23.5087,82.4,44,0,18.41,CV,1611503476
94,Saint-Augustin,51.226,-58.6502,35.22,85,100,15.7,CA,1611503476
95,Kudat,6.8837,116.8477,73.4,100,20,1.14,MY,1611503476
96,College,64.8569,-147.8028,3.99,77,20,4.61,US,1611503476
97,Cap Malheureux,-19.9842,57.6142,75.99,88,60,5.86,MU,1611503476
98,Berlin,52.5244,13.4105,37.0,94,100,5.01,DE,1611503439
99,Naryan-Mar,67.6713,53.087,-3.78,91,89,11.97,RU,1611503477
100,Dali,25.7,100.1833,44.46,80,1,5.82,CN,1611503477
101,Ponta do Sol,32.6667,-17.1,64.99,70,65,5.01,PT,1611503477
102,Pevek,69.7008,170.3133,-19.08,88,86,6.49,RU,1611504014
103,Malbork,54.0359,19.0266,34.0,100,100,5.26,PL,1611504015
104,San Francisco de Becerra,14.6333,-86.1,77.0,65,75,5.75,HN,1611504015
105,Grindavik,63.8424,-22.4338,28.4,80,20,25.32,IS,1611504016
106,Ulety,51.3572,112.4849,9.19,93,100,5.99,RU,1611504016
107,Qaanaaq,77.484,-69.3632,8.74,78,0,3.38,GL,1611503478
108,Bethel,41.3712,-73.414,23.0,42,1,12.66,US,1611503478
109,East London,-33.0153,27.9116,66.2,82,75,8.05,ZA,1611503478
110,Saint-Philippe,-21.3585,55.7679,82.4,69,20,4.61,RE,1611503478
111,Novoagansk,61.9449,76.6625,-48.37,77,51,1.5,RU,1611503478
112,Rio Grande,-32.035,-52.0986,82.4,74,40,9.22,BR,1611503478
113,Putina,-15.4667,-69.4333,49.33,68,71,3.89,PE,1611503478
114,Chokurdakh,70.6333,147.9167,-32.31,83,100,11.41,RU,1611503479
115,Zhigansk,66.7697,123.3711,-55.5,62,61,7.29,RU,1611503479
116,Marsh Harbour,26.5412,-77.0636,72.18,82,46,17.78,BS,1611503479
117,Waingapu,-9.6567,120.2641,79.12,78,100,5.84,ID,1611503479
118,Jember,-8.166,113.7032,74.43,77,100,1.05,ID,1611503479
119,Marawi,7.9986,124.2928,77.0,91,94,5.99,PH,1611503479
120,Uruguaiana,-29.7547,-57.0883,89.6,62,40,4.61,BR,1611503479
121,Kavieng,-2.5744,150.7967,81.95,76,42,7.43,PG,1611503479
122,Bambanglipuro,-7.95,110.2833,78.33,81,100,4.27,ID,1611503480
123,Nokaneng,-19.6667,22.2667,89.76,32,0,3.02,BW,1611503480
124,Gīdolē,5.65,37.3667,67.69,50,82,1.32,ET,1611503480
125,Geraldton,-28.7667,114.6,69.75,69,24,11.32,AU,1611503480
126,Kim,40.208,70.4688,30.2,64,0,8.95,TJ,1611503480
127,Camacupa,-12.0167,17.4833,72.66,69,39,4.12,AO,1611503480
128,Shingū,33.7333,135.9833,47.19,81,84,5.79,JP,1611503481
129,Huizhou,23.0833,114.4,66.0,75,100,3.36,CN,1611503481
130,Severo-Kuril'sk,50.6789,156.125,15.3,88,95,5.59,RU,1611503388
131,Lorengau,-2.0226,147.2712,81.25,72,100,4.21,PG,1611503403
132,Katsuura,35.1333,140.3,44.6,87,75,14.97,JP,1611503481
133,Sept-Îles,50.2001,-66.3821,36.0,64,100,16.11,CA,1611503481
134,Hobart,-42.8794,147.3294,68.0,45,87,6.91,AU,1611503481
135,Los Llanos de Aridane,28.6585,-17.9182,69.8,73,40,4.61,ES,1611503481
136,Marystown,47.1666,-55.1483,31.41,90,57,9.57,CA,1611503482
137,Alofi,-19.0595,-169.9187,75.2,94,100,1.14,NU,1611503379
138,Saskylakh,71.9167,114.0833,-37.52,79,1,5.59,RU,1611503482
139,São João da Barra,-21.6403,-41.0511,86.0,48,75,11.5,BR,1611503482
140,Pemangkat,1.1667,108.9667,78.12,84,94,5.7,ID,1611503482
141,Voh,-20.9667,164.7,75.58,87,56,5.7,NC,1611503482
142,Salinópolis,-0.6136,-47.3561,81.28,83,93,10.45,BR,1611503482
143,Westport,41.1415,-73.3579,26.6,33,1,13.8,US,1611503219
144,Grand Gaube,-20.0064,57.6608,75.99,88,48,5.95,MU,1611503482
145,Carnarvon,-24.8667,113.6333,77.0,73,40,19.57,AU,1611503368
146,Kastamonu Province,41.5,33.6667,34.27,88,57,3.29,TR,1611503483
147,Liverpool,53.4106,-2.9779,37.4,75,100,9.22,GB,1611503483
148,Kristinestad,62.2743,21.376,32.07,96,100,3.29,FI,1611503483
149,Tuatapere,-46.1333,167.6833,57.99,87,73,14.0,NZ,1611503483
150,Asău,46.4333,26.4,43.0,100,36,11.5,RO,1611503483
151,Rome,43.2128,-75.4557,14.0,72,1,5.75,US,1611503398
152,Navahrudak,53.6,25.8333,33.93,100,100,10.8,BY,1611503484
153,San Patricio,28.017,-97.5169,75.2,94,90,20.71,US,1611503484
154,Dikson,73.5069,80.5464,-13.52,90,100,10.47,RU,1611503484
155,Mount Gambier,-37.8333,140.7667,73.4,43,51,2.3,AU,1611503398
156,Labytnangi,66.6572,66.4183,-35.41,81,100,2.24,RU,1611503484
157,Lompoc,34.6391,-120.4579,41.0,93,1,3.44,US,1611503484
158,Vao,-22.6667,167.4833,76.35,76,90,22.59,NC,1611503484
159,Kaitangata,-46.2817,169.8464,55.0,80,62,1.99,NZ,1611503397
160,Sibolga,1.7427,98.7792,77.45,81,99,3.53,ID,1611503198
161,Ixtapa,20.7,-105.2,66.2,88,75,2.01,MX,1611503484
162,Torbay,47.6666,-52.7314,32.0,74,40,13.8,CA,1611503485
163,Puerto Suárez,-18.95,-57.8,87.8,70,40,4.61,BO,1611503485
164,São Gabriel da Cachoeira,-0.1303,-67.0892,82.4,74,40,4.61,BR,1611503485
165,Olafsvik,64.8945,-23.7142,29.19,91,85,29.39,IS,1611503485
166,Chenzhou,25.8,113.0333,62.64,58,99,1.41,CN,1611503485
167,Sisimiut,66.9395,-53.6735,17.01,87,100,8.03,GL,1611503485
168,Lebu,-37.6167,-73.65,62.71,66,9,15.19,CL,1611503368
169,Tignère,7.3667,12.65,85.53,16,60,7.85,CM,1611503485
170,Lagunas,-5.2269,-75.6753,74.46,96,100,1.63,PE,1611503485
171,Nome,64.5011,-165.4064,17.6,93,90,8.05,US,1611503379
172,Bengkulu,-3.8004,102.2655,78.42,80,99,4.72,ID,1611503486
173,Jalingo,8.8833,11.3667,96.26,11,49,9.64,NG,1611503486
174,Belyy Yar,53.6039,91.3903,5.0,72,0,6.71,RU,1611503486
175,Āgaro,7.85,36.65,71.76,43,75,1.59,ET,1611503486
176,Khatanga,71.9667,102.5,-19.48,87,100,10.0,RU,1611503486
177,Lata,40.1629,-8.3327,60.01,86,100,1.01,PT,1611503487
178,Newport,51.5877,-2.9984,39.99,96,58,4.27,GB,1611503307
179,Ribeira Grande,38.5167,-28.7,62.6,100,75,13.8,PT,1611503487
180,Ostrovnoy,68.0531,39.5131,9.1,94,100,12.44,RU,1611503487
181,Quatre Cocos,-20.2078,57.7625,80.6,78,40,4.61,MU,1611503487
182,Mahabalipuram,12.6264,80.1722,78.8,73,20,5.75,IN,1611503487
183,Skibbereen,51.55,-9.2667,37.4,70,20,13.8,IE,1611503332
184,Nelson Bay,-32.7167,152.15,69.8,88,41,6.91,AU,1611503487
185,Talgar,43.3027,77.2395,23.0,74,75,2.24,KZ,1611503487
186,Noyabrsk,63.1994,75.4507,-46.95,77,2,2.06,RU,1611503488
187,Beringovskiy,63.05,179.3167,-1.14,89,28,8.61,RU,1611504145
188,Bosaso,11.2842,49.1816,75.27,68,20,11.68,SO,1611504113
189,Sokolo,14.7328,-6.1219,91.24,9,3,9.13,ML,1611504145
190,George Town,5.4112,100.3354,84.2,74,20,8.05,MY,1611504145
191,Poum,-20.2333,164.0167,80.29,80,85,14.34,NC,1611504145
192,San Andrés,12.5847,-81.7006,82.4,74,20,16.11,CO,1611504145
193,Monterrey,25.6667,-100.3167,66.2,100,40,3.36,MX,1611504001
194,Moshupa,-24.7782,25.4155,86.0,37,75,17.27,BW,1611504146
195,Taoudenni,22.6783,-3.9836,86.99,11,1,11.34,ML,1611504146
196,Longyearbyen,78.2186,15.6401,15.8,62,75,16.11,SJ,1611504033
197,North Bend,43.4065,-124.2243,41.0,93,90,9.22,US,1611504146
198,Iqaluit,63.7506,-68.5145,1.4,78,40,19.57,CA,1611504146
199,Trairi,-3.2778,-39.2689,87.1,57,100,14.03,BR,1611504146
200,Mattru,7.6244,-11.8332,95.72,16,0,3.31,SL,1611504147
201,Kushima,31.4583,131.2333,48.0,100,6,4.0,JP,1611504147
202,Deputatsky,69.3,139.9,-37.64,82,100,4.72,RU,1611504147
203,Morehead,37.2711,-87.1764,41.0,75,90,2.73,US,1611504147
204,Manicoré,-5.8092,-61.3003,84.36,80,53,1.14,BR,1611504147
205,Cervo,43.6702,-7.4101,55.0,80,100,8.01,ES,1611504147
206,Vigeland,58.0844,7.305,37.0,69,88,1.99,NO,1611504147
207,Norman Wells,65.282,-126.8329,-13.0,77,90,3.44,CA,1611504148
208,Narón,43.5167,-8.1528,55.99,71,40,5.75,ES,1611504148
209,Bambous Virieux,-20.3428,57.7575,80.6,78,40,4.61,MU,1611504148
210,Sørland,67.667,12.6934,28.4,80,75,12.66,NO,1611504148
211,Batagay,67.6333,134.6333,-46.41,74,96,2.66,RU,1611504148
212,Codrington,-38.2667,141.9667,71.73,33,41,5.59,AU,1611504148
213,Fomboni,-12.28,43.7425,83.98,64,74,4.47,KM,1611504148
